date,demand,year,month,month_name,day,day_name
2001-04-20,314.0,2001,4,April,20,Friday
2001-04-21,0.0,2001,4,April,21,Saturday
2001-04-22,0.0,2001,4,April,22,Sunday
2001-04-23,2464.0,2001,4,April,23,Monday
2001-04-24,598.0,2001,4,April,24,Tuesday
2001-04-25,1935.0,2001,4,April,25,Wednesday
2001-04-26,966.0,2001,4,April,26,Thursday
2001-04-27,2163.0,2001,4,April,27,Friday
2001-04-28,0.0,2001,4,April,28,Saturday
2001-04-29,0.0,2001,4,April,29,Sunday
2001-04-30,912.0,2001,4,April,30,Monday
2001-05-01,2927.0,2001,5,May,01,Tuesday
2001-05-02,2624.0,2001,5,May,02,Wednesday
2001-05-03,1473.0,2001,5,May,03,Thursday
2001-05-04,1900.0,2001,5,May,04,Friday
2001-05-05,0.0,2001,5,May,05,Saturday
2001-05-06,0.0,2001,5,May,06,Sunday
2001-05-07,34.0,2001,5,May,07,Monday
2001-05-08,1674.0,2001,5,May,08,Tuesday
2001-05-09,612.0,2001,5,May,09,Wednesday
2001-05-10,1522.0,2001,5,May,10,Thursday
2001-05-11,2943.0,2001,5,May,11,Friday
2001-05-12,0.0,2001,5,May,12,Saturday
2001-05-13,0.0,2001,5,May,13,Sunday
2001-05-14,671.0,2001,5,May,14,Monday
2001-05-15,906.0,2001,5,May,15,Tuesday
2001-05-16,1955.0,2001,5,May,16,Wednesday
2001-05-17,630.0,2001,5,May,17,Thursday
2001-05-18,2060.0,2001,5,May,18,Friday
2001-05-19,0.0,2001,5,May,19,Saturday
2001-05-20,0.0,2001,5,May,20,Sunday
2001-05-21,1362.0,2001,5,May,21,Monday
2001-05-22,865.0,2001,5,May,22,Tuesday
2001-05-23,517.0,2001,5,May,23,Wednesday
2001-05-24,1874.0,2001,5,May,24,Thursday
2001-05-25,1505.0,2001,5,May,25,Friday
2001-05-26,0.0,2001,5,May,26,Saturday
2001-05-27,0.0,2001,5,May,27,Sunday
2001-05-28,0.0,2001,5,May,28,Monday
2001-05-29,2148.0,2001,5,May,29,Tuesday
2001-05-30,2273.0,2001,5,May,30,Wednesday
2001-05-31,754.0,2001,5,May,31,Thursday
2001-06-01,975.0,2001,6,June,01,Friday
2001-06-02,0.0,2001,6,June,02,Saturday
2001-06-03,0.0,2001,6,June,03,Sunday
2001-06-04,664.0,2001,6,June,04,Monday
2001-06-05,2930.0,2001,6,June,05,Tuesday
2001-06-06,453.0,2001,6,June,06,Wednesday
2001-06-07,213.0,2001,6,June,07,Thursday
2001-06-08,981.0,2001,6,June,08,Friday
2001-06-09,0.0,2001,6,June,09,Saturday
2001-06-10,0.0,2001,6,June,10,Sunday
2001-06-11,1085.0,2001,6,June,11,Monday
2001-06-12,94.0,2001,6,June,12,Tuesday
2001-06-13,606.0,2001,6,June,13,Wednesday
2001-06-14,678.0,2001,6,June,14,Thursday
2001-06-15,1858.0,2001,6,June,15,Friday
2001-06-16,0.0,2001,6,June,16,Saturday
2001-06-17,0.0,2001,6,June,17,Sunday
2001-06-18,590.0,2001,6,June,18,Monday
2001-06-19,499.0,2001,6,June,19,Tuesday
2001-06-20,1524.0,2001,6,June,20,Wednesday
2001-06-21,433.0,2001,6,June,21,Thursday
2001-06-22,240.0,2001,6,June,22,Friday
2001-06-23,0.0,2001,6,June,23,Saturday
2001-06-24,0.0,2001,6,June,24,Sunday
2001-06-25,195.0,2001,6,June,25,Monday
2001-06-26,346.0,2001,6,June,26,Tuesday
2001-06-27,425.0,2001,6,June,27,Wednesday
2001-06-28,1392.0,2001,6,June,28,Thursday
2001-06-29,1824.0,2001,6,June,29,Friday
2001-06-30,0.0,2001,6,June,30,Saturday
2001-07-01,0.0,2001,7,July,01,Sunday
2001-07-02,1195.0,2001,7,July,02,Monday
2001-07-03,1198.0,2001,7,July,03,Tuesday
2001-07-04,0.0,2001,7,July,04,Wednesday
2001-07-05,779.0,2001,7,July,05,Thursday
2001-07-06,4996.0,2001,7,July,06,Friday
2001-07-07,0.0,2001,7,July,07,Saturday
2001-07-08,0.0,2001,7,July,08,Sunday
2001-07-09,1671.0,2001,7,July,09,Monday
2001-07-10,2636.0,2001,7,July,10,Tuesday
2001-07-11,1854.0,2001,7,July,11,Wednesday
2001-07-12,3274.0,2001,7,July,12,Thursday
2001-07-13,1194.0,2001,7,July,13,Friday
2001-07-14,0.0,2001,7,July,14,Saturday
2001-07-15,0.0,2001,7,July,15,Sunday
2001-07-16,654.0,2001,7,July,16,Monday
2001-07-17,658.0,2001,7,July,17,Tuesday
2001-07-18,3916.0,2001,7,July,18,Wednesday
2001-07-19,268.0,2001,7,July,19,Thursday
2001-07-20,1635.0,2001,7,July,20,Friday
2001-07-21,0.0,2001,7,July,21,Saturday
2001-07-22,0.0,2001,7,July,22,Sunday
2001-07-23,142.0,2001,7,July,23,Monday
2001-07-24,1266.0,2001,7,July,24,Tuesday
2001-07-25,364.0,2001,7,July,25,Wednesday
2001-07-26,1058.0,2001,7,July,26,Thursday
2001-07-27,1226.0,2001,7,July,27,Friday
2001-07-28,0.0,2001,7,July,28,Saturday
2001-07-29,0.0,2001,7,July,29,Sunday
2001-07-30,1098.0,2001,7,July,30,Monday
2001-07-31,605.0,2001,7,July,31,Tuesday
2001-08-01,1758.0,2001,8,August,01,Wednesday
2001-08-02,1625.0,2001,8,August,02,Thursday
2001-08-03,570.0,2001,8,August,03,Friday
2001-08-04,0.0,2001,8,August,04,Saturday
2001-08-05,0.0,2001,8,August,05,Sunday
2001-08-06,1544.0,2001,8,August,06,Monday
2001-08-07,244.0,2001,8,August,07,Tuesday
2001-08-08,1807.0,2001,8,August,08,Wednesday
2001-08-09,106.0,2001,8,August,09,Thursday
2001-08-10,836.0,2001,8,August,10,Friday
2001-08-11,0.0,2001,8,August,11,Saturday
2001-08-12,0.0,2001,8,August,12,Sunday
2001-08-13,867.0,2001,8,August,13,Monday
2001-08-14,321.0,2001,8,August,14,Tuesday
2001-08-15,1120.0,2001,8,August,15,Wednesday
2001-08-16,705.0,2001,8,August,16,Thursday
2001-08-17,1097.0,2001,8,August,17,Friday
2001-08-18,0.0,2001,8,August,18,Saturday
2001-08-19,0.0,2001,8,August,19,Sunday
2001-08-20,468.0,2001,8,August,20,Monday
2001-08-21,2123.0,2001,8,August,21,Tuesday
2001-08-22,2032.0,2001,8,August,22,Wednesday
2001-08-23,923.0,2001,8,August,23,Thursday
2001-08-24,3874.0,2001,8,August,24,Friday
2001-08-25,0.0,2001,8,August,25,Saturday
2001-08-26,0.0,2001,8,August,26,Sunday
2001-08-27,122.0,2001,8,August,27,Monday
2001-08-28,1787.0,2001,8,August,28,Tuesday
2001-08-29,781.0,2001,8,August,29,Wednesday
2001-08-30,3620.0,2001,8,August,30,Thursday
2001-08-31,408.0,2001,8,August,31,Friday
2001-09-01,0.0,2001,9,September,01,Saturday
2001-09-02,0.0,2001,9,September,02,Sunday
2001-09-03,0.0,2001,9,September,03,Monday
2001-09-04,1541.0,2001,9,September,04,Tuesday
2001-09-05,1123.0,2001,9,September,05,Wednesday
2001-09-06,2342.0,2001,9,September,06,Thursday
2001-09-07,1439.0,2001,9,September,07,Friday
2001-09-08,0.0,2001,9,September,08,Saturday
2001-09-09,0.0,2001,9,September,09,Sunday
2001-09-10,124.0,2001,9,September,10,Monday
2001-09-11,0.0,2001,9,September,11,Tuesday
2001-09-12,0.0,2001,9,September,12,Wednesday
2001-09-13,0.0,2001,9,September,13,Thursday
2001-09-14,0.0,2001,9,September,14,Friday
2001-09-15,0.0,2001,9,September,15,Saturday
2001-09-16,0.0,2001,9,September,16,Sunday
2001-09-17,3244.0,2001,9,September,17,Monday
2001-09-18,3278.0,2001,9,September,18,Tuesday
2001-09-19,415.0,2001,9,September,19,Wednesday
2001-09-20,2708.0,2001,9,September,20,Thursday
2001-09-21,3105.0,2001,9,September,21,Friday
2001-09-22,0.0,2001,9,September,22,Saturday
2001-09-23,0.0,2001,9,September,23,Sunday
2001-09-24,4751.0,2001,9,September,24,Monday
2001-09-25,369.0,2001,9,September,25,Tuesday
2001-09-26,3335.0,2001,9,September,26,Wednesday
2001-09-27,1424.0,2001,9,September,27,Thursday
2001-09-28,1911.0,2001,9,September,28,Friday
2001-09-29,0.0,2001,9,September,29,Saturday
2001-09-30,0.0,2001,9,September,30,Sunday
2001-10-01,1079.0,2001,10,October,01,Monday
2001-10-02,1143.0,2001,10,October,02,Tuesday
2001-10-03,3391.0,2001,10,October,03,Wednesday
2001-10-04,371.0,2001,10,October,04,Thursday
2001-10-05,730.0,2001,10,October,05,Friday
2001-10-06,0.0,2001,10,October,06,Saturday
2001-10-07,0.0,2001,10,October,07,Sunday
2001-10-08,490.0,2001,10,October,08,Monday
2001-10-09,1381.0,2001,10,October,09,Tuesday
2001-10-10,113.0,2001,10,October,10,Wednesday
2001-10-11,2211.0,2001,10,October,11,Thursday
2001-10-12,1449.0,2001,10,October,12,Friday
2001-10-13,0.0,2001,10,October,13,Saturday
2001-10-14,0.0,2001,10,October,14,Sunday
2001-10-15,1150.0,2001,10,October,15,Monday
2001-10-16,147.0,2001,10,October,16,Tuesday
2001-10-17,1031.0,2001,10,October,17,Wednesday
2001-10-18,1594.0,2001,10,October,18,Thursday
2001-10-19,1373.0,2001,10,October,19,Friday
2001-10-20,0.0,2001,10,October,20,Saturday
2001-10-21,0.0,2001,10,October,21,Sunday
2001-10-22,2533.0,2001,10,October,22,Monday
2001-10-23,532.0,2001,10,October,23,Tuesday
2001-10-24,2608.0,2001,10,October,24,Wednesday
2001-10-25,1925.0,2001,10,October,25,Thursday
2001-10-26,452.0,2001,10,October,26,Friday
2001-10-27,0.0,2001,10,October,27,Saturday
2001-10-28,0.0,2001,10,October,28,Sunday
2001-10-29,2285.0,2001,10,October,29,Monday
2001-10-30,28.0,2001,10,October,30,Tuesday
2001-10-31,534.0,2001,10,October,31,Wednesday
2001-11-01,1684.0,2001,11,November,01,Thursday
2001-11-02,355.0,2001,11,November,02,Friday
2001-11-03,0.0,2001,11,November,03,Saturday
2001-11-04,0.0,2001,11,November,04,Sunday
2001-11-05,429.0,2001,11,November,05,Monday
2001-11-06,3837.0,2001,11,November,06,Tuesday
2001-11-07,175.0,2001,11,November,07,Wednesday
2001-11-08,35.0,2001,11,November,08,Thursday
2001-11-09,237.0,2001,11,November,09,Friday
2001-11-10,0.0,2001,11,November,10,Saturday
2001-11-11,0.0,2001,11,November,11,Sunday
2001-11-12,684.0,2001,11,November,12,Monday
2001-11-13,1602.0,2001,11,November,13,Tuesday
2001-11-14,2014.0,2001,11,November,14,Wednesday
2001-11-15,350.0,2001,11,November,15,Thursday
2001-11-16,218.0,2001,11,November,16,Friday
2001-11-17,0.0,2001,11,November,17,Saturday
2001-11-18,0.0,2001,11,November,18,Sunday
2001-11-19,437.0,2001,11,November,19,Monday
2001-11-20,383.0,2001,11,November,20,Tuesday
2001-11-21,953.0,2001,11,November,21,Wednesday
2001-11-22,0.0,2001,11,November,22,Thursday
2001-11-23,883.0,2001,11,November,23,Friday
2001-11-24,0.0,2001,11,November,24,Saturday
2001-11-25,0.0,2001,11,November,25,Sunday
2001-11-26,850.0,2001,11,November,26,Monday
2001-11-27,1831.0,2001,11,November,27,Tuesday
2001-11-28,1795.0,2001,11,November,28,Wednesday
2001-11-29,2033.0,2001,11,November,29,Thursday
2001-11-30,1014.0,2001,11,November,30,Friday
2001-12-01,0.0,2001,12,December,01,Saturday
2001-12-02,0.0,2001,12,December,02,Sunday
2001-12-03,1263.0,2001,12,December,03,Monday
2001-12-04,2199.0,2001,12,December,04,Tuesday
2001-12-05,4081.0,2001,12,December,05,Wednesday
2001-12-06,1038.0,2001,12,December,06,Thursday
2001-12-07,216.0,2001,12,December,07,Friday
2001-12-08,0.0,2001,12,December,08,Saturday
2001-12-09,0.0,2001,12,December,09,Sunday
2001-12-10,615.0,2001,12,December,10,Monday
2001-12-11,1538.0,2001,12,December,11,Tuesday
2001-12-12,1399.0,2001,12,December,12,Wednesday
2001-12-13,2394.0,2001,12,December,13,Thursday
2001-12-14,707.0,2001,12,December,14,Friday
2001-12-15,0.0,2001,12,December,15,Saturday
2001-12-16,0.0,2001,12,December,16,Sunday
2001-12-17,198.0,2001,12,December,17,Monday
2001-12-18,709.0,2001,12,December,18,Tuesday
2001-12-19,1383.0,2001,12,December,19,Wednesday
2001-12-20,960.0,2001,12,December,20,Thursday
2001-12-21,570.0,2001,12,December,21,Friday
2001-12-22,0.0,2001,12,December,22,Saturday
2001-12-23,0.0,2001,12,December,23,Sunday
2001-12-24,451.0,2001,12,December,24,Monday
2001-12-25,0.0,2001,12,December,25,Tuesday
2001-12-26,782.0,2001,12,December,26,Wednesday
2001-12-27,899.0,2001,12,December,27,Thursday
2001-12-28,486.0,2001,12,December,28,Friday
2001-12-29,0.0,2001,12,December,29,Saturday
2001-12-30,0.0,2001,12,December,30,Sunday
2001-12-31,1578.0,2001,12,December,31,Monday
2002-01-01,0.0,2002,1,January,01,Tuesday
